Alcohol,1
Anus,1
Ass,1
Assbag,1
Assfuck,1
Asshole,1
Bastard,1
bastardo,1
bfd,1
Bitc,1
bitchass,1
Boner,1
Bullshit,1
Bully,1
cabron,1
chingate,1
Clit,1
Cock,1
Cockface,1
Cocksniffer,1
Crap,1
Crime,1
Cum,1
Cunt,1
Cuntass,1
Cuntface,1
Cunthole,1
Cuntslut,1
Dick,1
Dickface,1
Dickfucker,1
dilligaf,1
Dumbass,1
Dumbfuck,1
Dumbshit,1
Fag,1
Faggot,1
Fatass,1
fdb,1
ffs,1
Fight,1
foad,1
fu,1
fub,1
fubar,1
Fuck,1
Fucker,1
Fucking,1
Gamble,1
Gambling,1
Gayass,1
Gayfuck,1
Ghetto,1
GTFO,1
gtfo,1
Hell,1
ho,1
Hoe,1
Homo,1
idgaf,1
Idiota,1
Jackass,1
Jerkass,1
kmrra,1
Kunt,1
Lameass,1
Lardass,1
Lesbian,1
Lesbo,1
Lezzie,1
maricon,1
mierda,1
Mothafucka,1
Mothafuckin,1
Motherfucker,1
Nerd,1
Nigga,1
Nigger,1
Niggers,1
omfg,1
pendejo,1
Piss,1
Pissed,1
Prick,1
Pussies,1
Pussy,1
Puta,1
Puto,1
Putu,1
Queer,1
Rape,1
Redneck,1
Retard,1
Sandnigger,1
Screw,1
Scumbag,1
Shank,1
Sheet,1
Shit,1
Shitass,1
Shitbag,1
Shitface,1
shits,1
Shots,1
Skank,1
Slut,1
smbff,1
smd,1
Spook,1
Steale,1
STFU,1
stfu,1
Stole,1
Stolen,1
Stripper,1
Strippers,1
Stupid,1
Suckass,1
Suspicious,1
Tequila,1
Terrorist,1
Thief,1
Thieves,1
Tit,1
Titty,1
Tittyfuck,1
turd,1
Twat,1
Twatlips,1
Unclefucker,1
Unsafe,1
Vag,1
Vagina,1
verga,1
Vodka,1
Wank,1
Wankjob,1
Wetback,1
Whore,1
Whorebag,1
Whoreface,1
Willy,1
Wop,1
Wtf,1
wtf-o,1
ymf,1
